,T Crawl [F],Crawl Water Content [lb],Crawl Dry Bulb F,Crawl DP F,DB C,DP C,RH_crawl [%],Incoming Water [lb/hr],Outgoing Water [lb/hr],Condensation per SF [lb],Step
33,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.31552638662703797,0.044174056431746433,6.962842490490608e-05,33
34,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.32126312914186705,0.009233827575186261,6.397540780431242e-05,34
35,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.32126312914186705,0.009233827575186261,6.397540780431242e-05,35
36,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3030215204493205,0.009086164700521236,6.0415734639922805e-05,36
37,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3139778817938474,-0.03189409250351857,5.46039081088453e-05,37
38,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.31753478679542857,-0.08139634789676693,4.5710112059359094e-05,38
39,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.33052459192245737,-0.14359434523879894,3.618471674093229e-05,39
40,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3162424075751138,-0.14386790250537757,3.3367112866775355e-05,40
41,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.24094741916237267,0.00893850182585608,4.8371258418163775e-05,41
42,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.22792831731849478,0.04368716803420214,5.257752329707974e-05,42
43,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.26471909304522506,0.10057292996875014,7.071080584862397e-05,43
44,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2933663560109015,0.10049202377452329,7.624049163481653e-05,44
45,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.32205223075482486,0.12421459066113408,8.638536999921861e-05,45
46,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.29475910033439545,0.14552049315427035,8.522640214647983e-05,46
47,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2940873286142212,0.12409087311749582,8.094816138825897e-05,47
48,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3258799179293682,0.14546026701865766,9.123890533255859e-05,48
49,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3297590202843734,0.1648454637170104,9.574225396852543e-05,49
50,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.33027586615564,0.16481281099288306,9.583598086499439e-05,50
51,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.33558122158095194,0.1824924470676473,0.00010028526299818242,51
52,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3567937051205716,0.16476129225037095,0.00010095915551121954,52
53,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.36280645357590274,0.18248519090673024,0.00010555393814994763,53
54,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.35733512191162564,0.16472827671819762,0.00010105756845331127,54
55,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3521441742219635,0.14529954305434153,9.629185390560102e-05,55
56,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.35364489853330683,0.14928607786225281,9.735404111412863e-05,56
