,T Crawl [F],HR Crawl [lb/lb],RH_crawl [%]
0,46.64,0.003936937160672026,48.98458718914691
1,46.64,0.003936237433473423,48.975935721795764
2,46.64,0.0039350346357498915,48.961064216318235
3,46.64,0.003933894076704115,48.946962182974
4,46.64,0.003932716878655013,48.932407085910626
5,46.64,0.003931335614455895,48.91532880695264
6,46.64,0.00392994399062559,48.89812236282018
7,46.64,0.003928261911201117,48.87732453861495
8,46.64,0.003926433267881568,48.85471441980969
9,46.64,0.003925551162403318,48.843807647651474
10,46.64,0.003925248007020732,48.840059283051545
11,46.64,0.003925024802996081,48.83729947466202
12,46.64,0.003924629546623492,48.83241231847067
13,46.64,0.003925413746578566,48.84210857019433
14,46.64,0.003925662382707855,48.84518283014947
15,46.64,0.003925636944421439,48.84486829871919
16,46.64,0.00392597238592051,48.84901585962393
17,46.64,0.003925962739814445,48.848896590566035
18,46.64,0.003925795650891522,48.84683062281548
19,46.64,0.003925538768982161,48.84365440927201
20,46.64,0.003925118498017993,48.83845796793489
21,46.64,0.003925017656742859,48.837211114710236
22,46.64,0.003924655203616956,48.83272955512313
23,46.64,0.003924394149837941,48.82950174675843
24,46.64,0.0039241913993459925,48.82699482951974
25,46.64,0.003924061425722336,48.825387764166635
26,46.64,0.003923691955208332,48.82081942392054
27,46.64,0.0039231728154420055,48.81440048014783
28,46.64,0.00392281287222837,48.80994992820636
29,46.64,0.003922149748423614,48.80175065774049
30,46.64,0.003921490505358732,48.793599353906124
31,46.64,0.003920817134724532,48.78527335002085
32,46.64,0.003920249472022688,48.778254375635925
33,46.64,0.003919827423474811,48.773035867142
34,46.64,0.003919464182517712,48.7685444919011
35,46.64,0.003919250684625194,48.765904646329375
36,46.64,0.003918739652176817,48.7595858565199
37,46.64,0.003918558084859854,48.75734081907575
38,46.64,0.003918198483863524,48.752894432945894
39,46.64,0.003917874334506687,48.748886394054026
40,46.64,0.003917804890015136,48.74802772692377
41,46.64,0.003917706036167346,48.74680541870719
42,46.64,0.003917667632301309,48.746330562418336
43,46.64,0.003917903102546607,48.749242105008946
44,46.64,0.003918285355875958,48.75396858647556
45,46.64,0.003918590204948598,48.75773797656182
46,46.64,0.003918692092807783,48.75899779616175
47,46.64,0.0039187347458225314,48.759525190612834
48,46.64,0.003918744879891596,48.75965049597219
49,46.64,0.0039188218484474445,48.76060219376959
50,46.64,0.003918829433388395,48.76069597973896
51,46.64,0.003918680814114924,48.758858337777
52,46.64,0.0039184070169010566,48.755472898075226
53,46.64,0.00391807815136643,48.75140654731208
54,46.64,0.003917495485605889,48.74420200149824
55,46.64,0.003916838723568916,48.73608125393595
56,46.64,0.00391635116283974,48.730052639888086
57,46.64,0.003916190766940258,48.72806936700313
58,46.64,0.003915953426250054,48.72513468066742
59,46.64,0.003915689929322989,48.72187657330493
60,46.64,0.003915350779276851,48.717683020315086
61,46.64,0.003915595747795518,48.720712029540245
62,46.64,0.003915534320004318,48.71995248177194
63,46.64,0.003915574635046443,48.72045097277592
64,46.64,0.003915447552311835,48.718879608704135
65,46.64,0.003916041032051623,48.7262179151102
66,46.64,0.003916707086210561,48.73445357900438
67,46.64,0.003917216920541881,48.74075759535088
68,46.64,0.003917725021012508,48.747040162581214
69,46.64,0.003918246436233915,48.7534873536078
70,46.64,0.003918698752516694,48.7590801418939
71,46.64,0.003919101375696264,48.76405847942489
72,46.64,0.003919122675799741,48.764321849837
73,46.64,0.003919041532375976,48.76331853175342
74,46.64,0.00391895901999473,48.76229828658716
75,46.64,0.003918695067805587,48.75903458130913
76,46.64,0.003918226256767822,48.75323783889634
77,46.64,0.003917341065816075,48.74229262937472
78,46.64,0.003916252244116263,48.72882952381437
79,46.64,0.003915314142552031,48.71723001097333
80,46.64,0.003914385721813974,48.70575016614518
81,46.64,0.00391312284714516,48.69013477174363
82,46.64,0.003912204518333956,48.67877963341628
83,46.64,0.0039113184544914805,48.66782341993027
84,46.64,0.003910298711128748,48.65521421563913
85,46.64,0.003911149918339814,48.665739460422245
86,46.64,0.003912136118135579,48.67793386343798
87,46.64,0.003912579226847948,48.68341290926767
88,46.64,0.003912903519751548,48.687422790935116
89,46.64,0.0039135424861771705,48.695323598459176
90,46.64,0.0039138873032245865,48.69958724789526
91,46.64,0.0039139430036231534,48.70027598072544
92,46.64,0.003913913848376977,48.69991547748169
93,46.64,0.003913942450060314,48.70026913594735
94,46.64,0.0039140821492482545,48.701996509353826
95,46.64,0.003914281963009691,48.704467195086536
96,46.64,0.00391467552077247,48.70933350970182
97,46.64,0.0039155021818922,48.7195550975504
98,46.64,0.003917402437372907,48.74305147743011
99,46.64,0.003919318043887836,48.76673752617949
100,46.64,0.003921053467004838,48.78819552208798
101,46.64,0.003922817154729369,48.810002879625486
102,46.64,0.003924638892842101,48.83252788006935
103,46.64,0.003926189450550164,48.85169974930215
104,46.64,0.003927820774262818,48.871870147173034
105,46.64,0.003929479559708505,48.89237998607124
106,46.64,0.003930678749385599,48.907207144604
107,46.64,0.003931296195715534,48.91484142316856
108,46.64,0.003931705970094445,48.91990797951715
109,46.64,0.003932071718078911,48.92443017654045
110,46.64,0.003932339621609425,48.92774259758749
111,46.64,0.0039324130191817595,48.92865010160713
112,46.64,0.003932327965575758,48.92759847975759
113,46.64,0.003931887993848885,48.92215856614261
114,46.64,0.003931818765825288,48.92130261392684
115,46.64,0.003932066863086626,48.924370148269794
116,46.64,0.003932114678970884,48.92496135510924
117,46.64,0.003932576629761215,48.93067301868147
118,46.64,0.0039325334537564805,48.93013918119576
119,46.64,0.003931785883550314,48.92089604937026
120,46.64,0.003930570566977463,48.905869545598264
121,46.64,0.003929806687643389,48.896424704435596
122,46.64,0.003928614198191298,48.881680348663046
123,46.64,0.003927348373452689,48.866029188338764
124,46.64,0.003925594420701924,48.844342514570286
125,46.64,0.00392405699351256,48.825332961875986
126,46.64,0.003921899317758119,48.79865417448683
127,46.64,0.003919876284326223,48.773640017829024
128,46.64,0.003917901188494266,48.74921843814256
129,46.64,0.003915930259347572,48.724848224854064
130,46.64,0.003914533956272127,48.70758307511559
131,46.64,0.003913133158547794,48.69026227207694
132,46.64,0.003911528347883572,48.67041876259896
133,46.64,0.00391020868286921,48.65410100738409
134,46.64,0.003908824373495684,48.636983845947626
135,46.64,0.003907295823828356,48.61808304696809
136,46.64,0.0039061343483889205,48.603721126889866
137,46.64,0.00390551624070775,48.59607805665581
138,46.64,0.0039040020623183794,48.577354763678144
139,46.64,0.0039017754873892753,48.549822298411485
140,46.64,0.003899888337853275,48.52648680680205
141,46.64,0.0038987942025760117,48.51295724503663
142,46.64,0.003897808849446741,48.50077279161803
143,46.64,0.0038959234903589313,48.47745914428443
144,46.64,0.0038929724243432664,48.44096708053171
145,46.64,0.0038898477331865615,48.402327641329364
146,46.64,0.0038868306410903154,48.36501838903728
147,46.64,0.003883587550845739,48.324914050614616
148,46.64,0.0038792770774257975,48.27160971485892
149,46.64,0.0038746973986797657,48.214975517735674
150,46.64,0.0038700225184440593,48.15716316479033
151,46.64,0.003865306265832433,48.098838301176
152,46.64,0.003860720084232689,48.04212115421916
153,46.64,0.0038564561601536745,47.98938860898119
