,T Crawl [F],HR Crawl [lb/lb],RH_crawl [%]
0,50.9,0.003968818534961438,49.54820867309513
1,50.9,0.003978062989653328,49.662886390693004
2,50.9,0.003987156376295045,49.77568680013268
3,50.9,0.003997110094815193,49.89915558057898
4,50.9,0.004008562738092691,50.04121259555478
5,50.9,0.004017633424255936,50.153720452587756
6,50.9,0.004027562855104444,50.27687597332222
7,50.9,0.004038193515386941,50.4087245678712
8,50.9,0.004045717886400327,50.50204416837596
9,50.9,0.004052249264951544,50.58304654725963
10,50.9,0.004058775579335363,50.66398443186399
11,50.9,0.004063137146845277,50.71807467134665
12,50.9,0.004068602127893055,50.785847895743096
13,50.9,0.004074050780676767,50.85341744939106
14,50.9,0.0040796874608107075,50.92331752040044
15,50.9,0.004086279466812696,51.00506292300061
16,50.9,0.004094502635957304,51.10703345586488
17,50.9,0.004103655939394779,51.22053486952104
18,50.9,0.0041141548944041255,51.350718342333835
19,50.9,0.004123297091172086,51.464074917848215
20,50.9,0.0041329602059723795,51.583886898364916
21,50.9,0.004142843813810094,51.706428923761
22,50.9,0.00415271520189901,51.82881558072497
23,50.9,0.0041625756996276665,51.95106336491146
24,50.9,0.00417388191735938,52.09123005605141
25,50.9,0.00418558887336445,52.236359489602926
26,50.9,0.004197298239096854,52.38151336756081
27,50.9,0.004209064149919005,52.527362732295
28,50.9,0.004220435750016855,52.66831904162162
29,50.9,0.004231807871262468,52.80927669083055
30,50.9,0.004243307330442881,52.951807489912575
31,50.9,0.004255832491781424,53.107045465453865
32,50.9,0.004268375477220882,53.26249813127991
33,50.9,0.004280936180698543,53.418164146797395
34,50.9,0.0042930244641447264,53.567969518446944
35,50.9,0.004305113260697818,53.71777546518187
36,50.9,0.004316523582282276,53.85916835577411
37,50.9,0.004327527293073621,53.995517781284796
38,50.9,0.004337676465054484,54.12127417890778
39,50.9,0.004347063054971449,54.23757794393449
40,50.9,0.004355908659830365,54.34717548782242
41,50.9,0.0043650175717952575,54.46003218625604
42,50.9,0.0043743415927160025,54.575550620527146
43,50.9,0.004386174889283727,54.722152363238166
44,50.9,0.004399073742888349,54.88194889481276
45,50.9,0.004413521419866916,55.06092510036886
46,50.9,0.0044273980769775805,55.23281980233683
47,50.9,0.004440822981090448,55.399111243514895
48,50.9,0.004455870063597072,55.58548779274174
49,50.9,0.004471468041166515,55.778678400574
50,50.9,0.004487096322486408,55.97223469027925
51,50.9,0.004503297739981049,56.17287907723137
52,50.9,0.004519931867063674,56.378871503386364
53,50.9,0.004537169693890752,56.592328438517114
54,50.9,0.004553848852335098,56.798856171599766
55,50.9,0.004569941545472686,56.99811164322357
56,50.9,0.004586184353428731,57.19921541726586
57,50.9,0.004602336141964811,57.39918193160551
58,50.9,0.004616474262208229,57.57420985157362
59,50.9,0.004630311729784098,57.74550808569779
60,50.9,0.00464349104790809,57.908651852281835
61,50.9,0.004655871745224202,58.06190342280768
62,50.9,0.004667646016147218,58.20764286759091
63,50.9,0.004679429268769906,58.353488002804546
64,50.9,0.004691207957131217,58.49927116292582
65,50.9,0.004703472433779151,58.6510610318942
66,50.9,0.004716517500663707,58.81250526449237
67,50.9,0.004731081064343179,58.99273429659387
68,50.9,0.0047464154978950745,59.182494050970725
69,50.9,0.004761717366320843,59.37184156348253
70,50.9,0.0047790283437628735,59.58603893207653
71,50.9,0.004795549531378977,59.79045280166346
72,50.9,0.004812715305094432,60.00283061091534
73,50.9,0.004829874289528848,60.215112795974036
74,50.9,0.004847046246338646,60.427543832623044
75,50.9,0.004864231185331084,60.64012381675301
76,50.9,0.0048807903506109295,60.844951869549135
77,50.9,0.00489568474404202,61.02917833690138
78,50.9,0.004910587596350882,61.21350066873491
79,50.9,0.004927158745131449,61.41844663237428
80,50.9,0.004944540778896916,61.63340968436722
81,50.9,0.004961302828657361,61.840694123889236
82,50.9,0.004977341566838193,62.03902350238264
83,50.9,0.004990808780254921,62.20554647521347
84,50.9,0.005003818699924989,62.36640818726647
85,50.9,0.00501679946842843,62.52690280488748
86,50.9,0.00502996209994275,62.68963919630824
87,50.9,0.005042352628529958,62.84282343830267
88,50.9,0.0050547436068627705,62.996007185840796
89,50.9,0.005068603684796136,63.167345536449346
90,50.9,0.005083148439730768,63.34713972229012
91,50.9,0.005097577405037731,63.525494339433074
92,50.9,0.005113600136956409,63.72353968620419
93,50.9,0.005129630245798583,63.92166608604276
94,50.9,0.005146378368460344,64.12865605935765
95,50.9,0.00516176696393721,64.31883389590077
96,50.9,0.005177834015170592,64.51738637478714
97,50.9,0.005192966879862924,64.704385113535
98,50.9,0.005208123810731536,64.8916721951969
99,50.9,0.005222594964605617,65.07047700503524
100,50.9,0.005237765536351176,65.25791492594821
101,50.9,0.005252943092682618,65.44543007025038
102,50.9,0.005268058491450304,65.63216825298652
103,50.9,0.005285791461685414,65.85123288147317
104,50.9,0.005301933595448467,66.05063430799358
105,50.9,0.0053172873878384605,66.24028794507541
106,50.9,0.005331932468974534,66.42117876354746
107,50.9,0.0053484191212590905,66.62480590573547
108,50.9,0.005366264784570901,66.84520617130619
109,50.9,0.005384041210598786,67.06473886529058
110,50.9,0.005402308801165039,67.29032430924006
111,50.9,0.005420546070060767,67.51552220811826
112,50.9,0.005439219482221696,67.74609213630771
113,50.9,0.005457933150377548,67.97714535599985
114,50.9,0.005476143748262194,68.20197405430122
115,50.9,0.005495666015192609,68.44298217139514
116,50.9,0.005516267577720329,68.69729824591134
117,50.9,0.005536541249157232,68.94755036457163
118,50.9,0.005555319605108561,69.17933033187647
119,50.9,0.0055741470686046,69.41170250387852
120,50.9,0.005592946694091424,69.64371718141965
121,50.9,0.005610449996335255,69.8597208516069
122,50.9,0.00563097791911992,70.11303522013722
123,50.9,0.0056509834900235695,70.35988782742334
124,50.9,0.00567149161865056,70.61292525657716
125,50.9,0.005691979208333134,70.86569275684862
126,50.9,0.0057133792095941755,71.12969959790564
127,50.9,0.005733868462624882,71.38245388062361
128,50.9,0.005754315905115911,71.63467594060522
129,50.9,0.005772644084008942,71.86074262246566
130,50.9,0.00578989458555452,72.07350476524464
131,50.9,0.0058058934774069945,72.27081950475464
132,50.9,0.005819740798131861,72.44159074343843
133,50.9,0.005829063881631483,72.55656285870434
134,50.9,0.005838640573009898,72.67465890678486
135,50.9,0.005839239080052884,72.68203934415317
136,50.9,0.005838995043009516,72.6790300243494
137,50.9,0.005838760124498647,72.67613314665972
138,50.9,0.005838518183860847,72.67314967394127
139,50.9,0.005833731808946921,72.61412638010972
140,50.9,0.00582880583884923,72.55338072522837
141,50.9,0.005827730283389664,72.54011715600966
142,50.9,0.005826658591409175,72.52690118536167
143,50.9,0.005825591654051106,72.51374380329591
144,50.9,0.005824810202443676,72.50410697920242
145,50.9,0.005823477392873618,72.48767077955533
